playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481186,2021,Logan O'Connor,COL,R,other,76,1784.0,34.0,16.75,0.67,0.5,0.35,0.47,0.42,0.43,175.0,1.5,0.1,0.08,0.24,0.04,0.73,0.8,0.1,0.1,0.1,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.02,0.0,0.0,0.12,0.12,0.12,34.0,5.0,12.0,2.0,15.0,3.0,4.0,6.0,21.0,1.0,2.0,5087.0,0.0,0.0,0.0,4.0,16.3,5.44,5.35,5.44,5.35,18.0,4.0,7.0,29.0,5.0,2.0,0.0,9.0,3.0,10.0,0.41,0.31,4.72,0.0,0.0,5.0,29.0,22.0,22.0,0.29,0.54,0.24,5.5,5.5,5.4,22.22,2.7,2.18,2.7,2.18,21.0,10.0,22.0,53.0,3.0,4.0,0.0,22.0,4.0,5.0,0.59,0.49,1.61,2.0,1.0,0.0,53.0,31.0,31.0,0.58,1.1,1.1,2.18,2.18,1.81,14.55,14.63,121.0,135.0,0.3,0.0,1.0,0.0,1.0,0.0
8481186,2021,Logan O'Connor,COL,R,all,76,64328.0,1466.0,27.38,0.43,0.56,0.43,0.55,0.44,0.54,557.0,114.03,11.79,7.88,23.42,3.41,55.7,48.8,11.63,11.75,11.59,12.0,4.0,124.0,27.0,44.0,195.0,23.0,7.0,10.0,1.0,23.0,8.0,47.0,56.0,117.0,144.0,13.0,29.0,5.0,94.0,37.0,15.0,100.0,39.0,12.0,3.53,4.69,3.57,2.0,4.0,1.0,198.64,151.0,152.47,4.0,1.65,1.68,2.13,11.31,11.35,11.26,1466.0,120.0,231.0,259.0,856.0,238.0,215.0,181.0,832.0,5.0,17.0,211829.0,29.0,43.0,20.0,57.0,440.14,42.09,41.42,42.41,41.74,478.0,130.0,210.0,818.0,40.0,29.0,5.0,443.0,123.0,42.0,13.25,15.05,13.79,12.0,13.0,15.0,838.58,608.0,618.58,6.07,6.17,5.88,42.3,42.8,42.35,565.82,55.28,52.44,55.02,52.2,583.0,205.0,289.0,1077.0,52.0,43.0,8.0,587.0,147.0,54.0,16.85,17.99,20.44,17.0,17.0,18.0,1058.81,788.0,778.63,9.5,11.65,11.65,53.14,52.85,51.22,215.26,168.07,3939.0,3180.0,0.0,0.0,0.0,0.0,0.0,0.0
8481186,2021,Logan O'Connor,COL,R,5on5,76,53365.0,1198.0,27.38,0.5,0.54,0.49,0.54,0.49,0.53,535.0,95.22,9.59,6.68,21.0,2.94,49.66,37.13,9.43,9.55,9.4,8.0,4.0,104.0,23.0,40.0,167.0,18.0,6.0,10.0,1.0,19.0,7.0,42.0,43.0,98.0,121.0,12.0,27.0,1.0,91.0,26.0,13.0,86.0,32.0,9.0,3.08,3.63,2.89,2.0,3.0,1.0,170.64,127.0,128.47,3.0,1.38,1.68,2.13,8.84,8.87,8.79,1198.0,106.0,122.0,243.0,727.0,221.0,171.0,136.0,670.0,1.0,9.0,167607.0,27.0,37.0,17.0,40.0,391.42,33.01,32.44,33.32,32.76,421.0,123.0,197.0,741.0,31.0,27.0,5.0,407.0,109.0,28.0,11.75,13.12,8.14,10.0,12.0,9.0,761.58,544.0,554.58,5.33,5.64,5.64,32.71,33.22,32.87,408.99,32.75,31.98,32.49,31.74,430.0,137.0,211.0,778.0,29.0,22.0,2.0,438.0,103.0,26.0,12.58,12.66,7.51,11.0,14.0,4.0,759.81,567.0,557.62,5.57,5.35,5.35,32.97,32.68,32.27,128.02,110.48,2948.0,2535.0,0.93,1.06,33.0,34.0,26.0,31.0
8481186,2021,Logan O'Connor,COL,R,4on5,76,9042.0,225.0,25.83,0.15,0.11,0.16,0.13,0.17,0.15,186.0,16.61,2.09,1.08,1.96,0.41,4.98,10.48,2.09,2.09,2.09,3.0,0.0,19.0,2.0,2.0,23.0,4.0,1.0,0.0,0.0,3.0,1.0,5.0,11.0,18.0,20.0,1.0,2.0,3.0,3.0,8.0,1.0,11.0,7.0,3.0,0.35,1.06,0.68,0.0,1.0,0.0,23.0,21.0,21.0,1.0,0.24,0.0,0.0,2.34,2.34,2.34,225.0,8.0,97.0,13.0,107.0,11.0,39.0,38.0,137.0,3.0,0.0,10986.0,2.0,0.0,0.0,0.0,31.06,3.6,3.58,3.6,3.58,38.0,2.0,5.0,45.0,4.0,0.0,0.0,25.0,11.0,4.0,1.05,1.62,0.93,2.0,1.0,1.0,45.0,40.0,40.0,0.42,0.0,0.0,4.02,4.02,4.0,134.61,19.83,18.28,19.83,18.28,132.0,58.0,54.0,244.0,20.0,17.0,6.0,127.0,40.0,23.0,3.67,4.84,11.31,4.0,2.0,14.0,244.0,190.0,190.0,3.36,5.2,5.2,17.99,17.99,17.14,2.52,20.46,46.0,308.0,0.06,0.09,2.0,2.0,1.0,2.0
8481186,2021,Logan O'Connor,COL,R,5on4,76,137.0,9.0,5.29,1.0,0.86,1.0,0.87,1.0,0.83,76.0,0.71,0.0,0.04,0.21,0.02,0.33,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,9.0,1.0,0.0,1.0,7.0,3.0,1.0,1.0,4.0,0.0,1.0,2837.0,0.0,0.0,0.0,1.0,1.37,0.04,0.04,0.04,0.04,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.03,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.66,78.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,TOR,D,other,72,1578.0,29.0,5.55,0.59,0.45,0.3,0.49,0.35,0.48,174.0,0.74,0.07,0.05,0.29,0.04,0.29,0.26,0.06,0.07,0.06,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.07,0.01,0.01,0.01,29.0,4.0,5.0,4.0,16.0,1.0,9.0,4.0,15.0,0.0,0.0,6662.0,2.0,2.0,1.0,4.0,11.27,5.93,5.26,5.93,5.26,10.0,6.0,0.0,16.0,6.0,3.0,3.0,6.0,3.0,7.0,0.26,0.45,5.22,1.0,1.0,4.0,16.0,16.0,16.0,0.15,1.06,1.06,5.02,5.02,4.92,21.38,4.11,2.98,4.11,2.98,20.0,10.0,8.0,38.0,2.0,3.0,0.0,16.0,7.0,7.0,0.77,0.74,2.6,2.0,0.0,0.0,38.0,30.0,30.0,0.51,0.78,0.78,3.85,3.85,2.7,14.89,18.56,137.0,145.0,0.0,0.1,0.0,2.0,0.0,2.0
8480950,2021,Ilya Lyubushkin,TOR,D,all,72,75386.0,1672.0,9.03,0.41,0.51,0.43,0.5,0.42,0.51,337.0,48.03,1.78,2.76,13.23,1.65,29.33,21.26,1.72,1.77,1.71,5.0,7.0,49.0,21.0,28.0,98.0,13.0,1.0,0.0,1.0,10.0,2.0,23.0,34.0,48.0,69.0,22.0,47.0,0.0,175.0,14.0,35.0,68.0,2.0,0.0,1.52,0.26,0.0,1.0,0.0,0.0,96.84,70.0,68.91,27.0,0.55,0.0,0.1,2.22,2.2,2.14,1672.0,104.0,275.0,233.0,1060.0,166.0,253.0,195.0,1058.0,0.0,0.0,185865.0,47.0,21.0,9.0,84.0,516.13,44.7,43.07,44.97,43.35,505.0,215.0,226.0,946.0,48.0,30.0,7.0,553.0,134.0,33.0,15.89,16.44,12.37,21.0,15.0,12.0,941.77,720.0,718.49,6.85,6.08,6.08,45.47,45.81,45.18,707.87,64.12,60.88,64.62,61.36,735.0,248.0,286.0,1269.0,76.0,61.0,7.0,745.0,174.0,64.0,21.06,20.4,22.67,26.0,23.0,27.0,1286.71,983.0,993.98,11.37,11.66,11.61,63.88,64.45,62.24,153.07,148.35,2850.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on5,72,65389.0,1457.0,9.03,0.47,0.51,0.48,0.5,0.48,0.5,322.0,46.25,1.66,2.61,12.69,1.53,28.4,20.12,1.61,1.65,1.59,5.0,5.0,46.0,21.0,27.0,94.0,10.0,0.0,0.0,0.0,9.0,2.0,22.0,34.0,46.0,67.0,18.0,39.0,0.0,156.0,11.0,32.0,65.0,2.0,0.0,1.4,0.26,0.0,0.0,0.0,0.0,92.84,67.0,65.91,24.0,0.52,0.0,0.04,2.14,2.12,2.06,1457.0,94.0,191.0,219.0,953.0,155.0,209.0,161.0,932.0,0.0,0.0,145956.0,39.0,15.0,6.0,64.0,482.59,36.98,36.03,37.25,36.31,471.0,202.0,223.0,896.0,40.0,27.0,4.0,525.0,123.0,25.0,15.07,14.99,6.92,19.0,13.0,8.0,891.77,673.0,671.49,6.43,5.03,5.03,38.39,38.72,38.2,533.6,42.32,40.69,42.83,41.18,561.0,179.0,229.0,969.0,49.0,42.0,5.0,566.0,138.0,36.0,15.74,16.21,10.38,18.0,20.0,11.0,986.72,740.0,750.98,7.17,8.82,8.77,40.73,41.29,40.61,100.32,95.03,2155.0,2177.0,6.47,0.38,118.0,16.0,97.0,14.0
8480950,2021,Ilya Lyubushkin,TOR,D,4on5,72,8253.0,173.0,8.33,0.09,0.18,0.11,0.15,0.12,0.17,210.0,1.03,0.05,0.1,0.25,0.07,0.64,0.88,0.05,0.05,0.05,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,0.0,15.0,2.0,3.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.02,0.0,0.0,0.07,0.07,0.07,173.0,4.0,79.0,9.0,81.0,8.0,32.0,28.0,105.0,0.0,0.0,11574.0,6.0,0.0,0.0,0.0,21.61,1.77,1.76,1.77,1.76,23.0,7.0,3.0,33.0,2.0,0.0,0.0,21.0,8.0,1.0,0.54,1.0,0.23,1.0,1.0,0.0,33.0,30.0,30.0,0.27,0.0,0.0,2.03,2.03,2.02,152.89,17.69,17.21,17.69,17.21,154.0,59.0,49.0,262.0,25.0,16.0,2.0,163.0,29.0,21.0,4.55,3.45,9.7,6.0,3.0,16.0,262.0,213.0,213.0,3.69,2.07,2.07,19.31,19.31,18.92,4.72,22.05,56.0,313.0,0.49,0.03,3.0,1.0,3.0,1.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on4,72,166.0,13.0,1.3,1.0,0.86,1.0,0.8,1.0,0.76,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,10.0,2.0,3.0,2.0,6.0,0.0,0.0,4227.0,0.0,0.0,0.0,2.0,0.66,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,0.98,93.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
