team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2021,VGK,VGK,Team Level,other,79,0.51,0.53,0.51,9240.0,143.54,34.37,11.01,24.48,4.7,79.24,44.19,31.19,34.37,31.19,160.0,38.0,78.0,276.0,33.0,15.0,2.0,22.0,7.0,71.0,50.0,127.0,165.0,3.0,6.0,142.0,27.0,36.0,19.0,104.0,45.0,49.0,4.22,5.31,24.84,8.0,9.0,16.0,276.0,198.0,198.0,10.0,3.16,5.23,5.23,32.3,32.3,30.58,139.78,33.66,9.56,25.11,4.67,71.53,48.47,31.38,33.66,31.38,137.0,56.0,55.0,248.0,26.0,17.0,4.0,23.0,5.0,58.0,64.0,111.0,167.0,8.0,16.0,97.0,33.0,24.0,17.0,104.0,40.0,49.0,3.96,5.1,24.61,5.0,3.0,18.0,248.0,193.0,193.0,4.0,2.81,4.65,4.65,31.82,31.82,30.19
VGK,2021,VGK,VGK,Team Level,all,79,0.51,0.52,0.53,287385.0,2627.34,255.84,185.85,613.42,86.58,1462.41,1057.91,244.11,256.79,245.03,2710.0,952.0,1187.0,4849.0,250.0,229.0,33.0,609.0,106.0,1216.0,1252.0,2460.0,3412.0,243.0,542.0,2263.0,1622.0,715.0,699.0,2666.0,732.0,264.0,76.71,89.77,89.36,78.0,92.0,80.0,4874.99,3662.0,3674.75,342.0,40.82,48.45,48.45,248.21,249.29,242.98,2338.2,243.57,164.3,527.78,76.11,1284.63,939.6,233.77,244.04,234.2,2371.0,865.0,1259.0,4495.0,235.0,203.0,45.0,435.0,81.0,1034.0,1248.0,2136.0,3001.0,241.0,549.0,2321.0,2462.0,644.0,622.0,2299.0,674.0,263.0,65.98,84.22,93.37,78.0,80.0,77.0,4486.19,3236.0,3234.67,302.0,36.34,47.51,47.55,232.37,232.22,226.81
VGK,2021,VGK,VGK,Team Level,5on5,79,0.53,0.52,0.54,238829.0,2118.16,181.43,143.2,513.88,69.84,1176.32,874.35,174.67,182.37,175.59,2174.0,785.0,996.0,3955.0,175.0,175.0,24.0,529.0,86.0,983.0,1011.0,1999.0,2784.0,225.0,506.0,1786.0,1529.0,605.0,593.0,2195.0,601.0,163.0,63.0,73.21,45.22,64.0,71.0,40.0,3980.99,2959.0,2971.75,307.0,29.63,35.45,35.68,175.37,176.46,173.07,1844.64,164.04,124.62,433.63,60.22,1016.98,758.51,158.56,164.51,158.99,1879.0,679.0,1034.0,3592.0,159.0,148.0,30.0,361.0,64.0,814.0,1012.0,1720.0,2399.0,216.0,499.0,1878.0,2334.0,540.0,527.0,1868.0,535.0,155.0,54.2,66.82,43.01,64.0,63.0,32.0,3583.19,2558.0,2556.67,273.0,25.8,31.35,31.35,158.5,158.35,156.01
VGK,2021,VGK,VGK,Team Level,4on5,79,0.14,0.12,0.16,18661.0,57.25,6.28,2.87,7.6,1.67,17.25,39.32,6.23,6.28,6.23,64.0,11.0,3.0,78.0,9.0,1.0,1.0,6.0,0.0,12.0,47.0,55.0,66.0,7.0,14.0,142.0,44.0,47.0,19.0,47.0,19.0,9.0,1.39,2.41,2.48,2.0,3.0,4.0,78.0,75.0,75.0,18.0,0.66,0.25,0.25,6.68,6.68,6.67,292.82,39.28,26.99,60.64,9.39,177.52,90.16,37.3,39.28,37.3,289.0,115.0,158.0,562.0,44.0,35.0,10.0,49.0,12.0,151.0,113.0,245.0,360.0,11.0,22.0,189.0,29.0,17.0,56.0,275.0,80.0,49.0,6.43,9.76,23.1,8.0,12.0,24.0,562.0,404.0,404.0,4.0,7.01,10.8,10.8,35.48,35.48,34.08
VGK,2021,VGK,VGK,Team Level,5on4,79,0.84,0.85,0.84,20655.0,308.39,33.76,28.78,67.46,10.36,189.6,100.04,32.03,33.76,32.03,312.0,118.0,110.0,540.0,33.0,38.0,6.0,52.0,13.0,150.0,144.0,279.0,397.0,8.0,16.0,193.0,22.0,27.0,68.0,320.0,67.0,43.0,8.1,8.84,16.82,4.0,9.0,20.0,540.0,430.0,430.0,7.0,7.38,7.51,7.29,33.85,33.85,32.66,60.96,6.59,3.13,8.39,1.83,18.6,42.47,6.52,6.59,6.52,66.0,15.0,12.0,93.0,6.0,3.0,1.0,2.0,0.0,11.0,59.0,60.0,75.0,6.0,12.0,157.0,66.0,63.0,22.0,52.0,19.0,10.0,1.4,2.54,2.66,1.0,2.0,3.0,93.0,81.0,81.0,21.0,0.73,0.71,0.75,6.57,6.57,6.53
EDM,2021,EDM,EDM,Team Level,other,79,0.64,0.49,0.5,9547.0,142.11,37.85,10.08,20.97,4.15,66.23,45.71,36.56,37.85,36.56,138.0,47.0,43.0,228.0,35.0,9.0,2.0,18.0,1.0,68.0,54.0,103.0,150.0,4.0,8.0,117.0,33.0,22.0,30.0,66.0,72.0,47.0,2.89,8.88,26.08,1.0,8.0,26.0,228.0,185.0,185.0,13.0,2.89,3.28,3.28,37.47,37.47,36.4,133.24,21.51,9.61,25.52,4.7,75.66,46.99,20.74,21.51,20.74,144.0,40.0,51.0,235.0,21.0,10.0,0.0,23.0,7.0,57.0,66.0,123.0,163.0,8.0,18.0,116.0,35.0,24.0,23.0,102.0,60.0,22.0,4.05,7.4,10.06,7.0,5.0,9.0,235.0,184.0,184.0,6.0,2.76,2.38,2.38,21.9,21.9,21.38
EDM,2021,EDM,EDM,Team Level,all,79,0.54,0.52,0.52,287556.0,2635.48,272.54,185.56,574.64,83.5,1433.93,1067.82,262.49,274.15,264.06,2685.0,933.0,1150.0,4768.0,273.0,185.0,39.0,568.0,97.0,1183.0,1312.0,2412.0,3345.0,268.0,572.0,2338.0,1787.0,609.0,852.0,2528.0,821.0,269.0,75.52,100.07,96.94,65.0,104.0,104.0,4813.82,3618.0,3646.63,514.0,40.95,41.49,41.76,271.72,273.14,266.36,2452.49,235.73,171.73,551.54,79.91,1375.31,977.81,228.05,236.62,228.91,2528.0,864.0,966.0,4358.0,244.0,171.0,33.0,544.0,94.0,1057.0,1282.0,2284.0,3148.0,249.0,525.0,2202.0,1878.0,614.0,889.0,2442.0,743.0,207.0,76.85,88.5,70.38,82.0,88.0,74.0,4345.61,3392.0,3391.94,534.0,37.95,34.77,34.77,238.89,239.75,234.6
EDM,2021,EDM,EDM,Team Level,5on5,79,0.52,0.53,0.52,234108.0,2047.95,176.72,137.14,472.82,65.15,1126.8,847.38,171.38,178.34,172.96,2084.0,742.0,972.0,3798.0,174.0,145.0,31.0,477.0,80.0,904.0,1046.0,1910.0,2652.0,238.0,504.0,1829.0,1652.0,511.0,723.0,2085.0,579.0,162.0,62.24,70.56,43.92,50.0,77.0,47.0,3843.82,2826.0,2854.63,448.0,28.39,30.49,30.74,174.37,175.79,173.01,1901.21,164.32,126.59,444.42,61.45,1051.84,778.38,159.53,165.21,160.39,1957.0,670.0,779.0,3406.0,167.0,130.0,24.0,438.0,69.0,788.0,1035.0,1790.0,2460.0,218.0,461.0,1665.0,1754.0,502.0,739.0,1958.0,536.0,133.0,62.9,64.2,37.22,67.0,67.0,33.0,3393.61,2627.0,2626.94,477.0,26.17,24.8,24.8,165.69,166.54,163.81
EDM,2021,EDM,EDM,Team Level,4on5,79,0.14,0.16,0.18,23240.0,83.87,7.25,4.05,11.09,2.58,26.44,60.6,7.22,7.25,7.22,96.0,16.0,11.0,123.0,11.0,1.0,2.0,14.0,1.0,19.0,66.0,85.0,101.0,12.0,32.0,181.0,73.0,56.0,51.0,77.0,32.0,3.0,2.22,4.24,0.79,5.0,5.0,1.0,123.0,112.0,112.0,51.0,0.93,0.33,0.37,7.81,7.81,7.78,368.0,44.16,32.66,75.12,12.16,231.44,118.46,42.13,44.16,42.13,374.0,140.0,129.0,643.0,50.0,28.0,9.0,81.0,18.0,195.0,142.0,324.0,464.0,16.0,32.0,250.0,21.0,31.0,86.0,346.0,123.0,45.0,8.85,14.03,21.28,8.0,12.0,30.0,643.0,514.0,514.0,11.0,8.35,7.19,7.19,45.33,45.33,43.47
EDM,2021,EDM,EDM,Team Level,5on4,79,0.9,0.89,0.88,20661.0,361.55,50.72,34.29,69.77,11.63,214.47,114.12,47.33,50.72,47.33,367.0,128.0,124.0,619.0,53.0,30.0,4.0,59.0,15.0,192.0,146.0,314.0,442.0,14.0,28.0,211.0,29.0,20.0,48.0,300.0,138.0,57.0,8.17,16.4,26.16,9.0,14.0,30.0,619.0,495.0,495.0,2.0,8.73,7.39,7.39,52.07,52.07,49.17,50.03,5.74,2.85,6.48,1.59,16.36,33.98,5.65,5.74,5.65,53.0,14.0,7.0,74.0,6.0,3.0,0.0,2.0,0.0,17.0,39.0,47.0,61.0,7.0,14.0,171.0,68.0,57.0,41.0,36.0,24.0,7.0,1.05,2.86,1.82,0.0,4.0,2.0,74.0,67.0,67.0,40.0,0.66,0.41,0.41,5.98,5.98,5.94
