"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Toronto Maple Leafs","82","40.5","49","26","7","42","105","0.640","18","99","15.38","14","78","15.22","12","57","17.39","12","9","57.14","8.63","4.37","66.37","5","48","9.43","5","25","16.67","5","9","35.71","100.00","64.00","3","20","13.04","3","12","20.00","3","7","30.00","100.00","41.67","2","28","6.67","2","13","13.33","2","2","50.00","100.00","84.62","7","44","13.73","5","32","13.51","5","0","100.00","100.00","100.00","100.00","84.21","1.842"
"2","Winnipeg Jets","82","51.55","52","20","10","48","114","0.695","25","111","18.38","21","67","23.86","13","40","24.53","13","6","68.42","10.59","3.9","73.09","3","52","5.45","1","22","4.35","1","3","25.00","100.00","86.36","2","17","10.53","0","11","0.00","0","1","0.00","-","90.91","1","35","2.78","1","11","8.33","1","2","33.33","100.00","81.82","5","51","8.93","4","18","18.18","4","3","57.14","100.00","83.33","100.00","85.00","1.850"
"3","Pittsburgh Penguins","82","27.9167","47","29","6","45","100","0.610","23","72","24.21","16","52","23.53","11","34","24.44","11","2","84.62","9.23","3.09","74.94","9","33","21.43","5","19","20.83","5","2","71.43","100.00","89.47","1","13","7.14","1","9","10.00","1","2","33.33","100.00","77.78","8","20","28.57","4","10","28.57","4","0","100.00","100.00","100.00","7","33","17.50","3","15","16.67","3","0","100.00","100.00","100.00","100.00","94.12","1.941"
"4","Calgary Flames","82","29.9167","37","35","10","35","84","0.512","13","78","14.29","11","63","14.86","6","42","12.50","5","5","50.00","6.25","5.5","53.20","4","41","8.89","4","23","14.81","3","3","50.00","75.00","86.96","1","23","4.17","1","14","6.67","0","2","0.00","0.00","85.71","3","18","14.29","3","9","25.00","3","1","75.00","100.00","88.89","2","33","5.71","0","17","0.00","0","2","0.00","-","88.24","83.33","88.10","1.714"
"5","Edmonton Oilers","82","20.4167","36","40","6","31","78","0.476","18","61","22.78","15","43","25.86","12","32","27.27","11","6","64.71","8.54","3.96","68.34","7","36","16.28","6","20","23.08","6","4","60.00","100.00","80.00","1","16","5.88","1","11","8.33","1","4","20.00","100.00","63.64","6","20","23.08","5","9","35.71","5","0","100.00","100.00","100.00","6","21","22.22","3","11","21.43","2","2","50.00","66.67","81.82","91.67","81.25","1.729"
"6","Philadelphia Flyers","82","45.9","42","26","14","40","98","0.598","31","103","23.13","25","73","25.51","15","55","21.43","15","8","65.22","13.75","6.14","69.13","9","59","13.24","6","35","14.63","6","7","46.15","100.00","80.00","6","28","17.65","3","19","13.64","3","4","42.86","100.00","78.95","3","31","8.82","3","16","15.79","3","3","50.00","100.00","81.25","10","40","20.00","4","20","16.67","4","1","80.00","100.00","95.00","100.00","85.45","1.855"
"7","San Jose Sharks","82","37.3","45","27","10","40","100","0.610","26","92","22.03","24","56","30.00","14","40","25.93","14","1","93.33","10.27","3.33","75.52","4","40","9.09","2","20","9.09","2","1","66.67","100.00","95.00","2","13","13.33","1","10","9.09","1","1","50.00","100.00","90.00","2","27","6.90","1","10","9.09","1","0","100.00","100.00","100.00","10","42","19.23","7","20","25.93","7","0","100.00","100.00","100.00","100.00","97.50","1.975"
"8","Nashville Predators","82","52.6667","53","18","11","47","117","0.713","26","128","16.88","23","88","20.72","10","63","13.70","10","3","76.92","13.77","5.55","71.27","8","52","13.33","4","31","11.43","4","1","80.00","100.00","96.77","3","24","11.11","2","19","9.52","2","0","100.00","100.00","100.00","5","28","15.15","2","12","14.29","2","1","66.67","100.00","91.67","5","61","7.58","3","27","10.00","3","2","60.00","100.00","92.59","100.00","95.24","1.952"
"9","Boston Bruins","82","48.2","50","20","12","47","112","0.683","28","107","20.74","23","80","22.33","18","58","23.68","18","8","69.23","13.52","3.96","77.35","10","41","19.61","8","27","22.86","8","6","57.14","100.00","77.78","6","20","23.08","5","14","26.32","5","4","55.56","100.00","71.43","4","21","16.00","3","13","18.75","3","2","60.00","100.00","84.62","3","59","4.84","2","30","6.25","2","2","50.00","100.00","93.33","100.00","86.21","1.862"
"10","Montreal Canadiens","82","39.6667","29","40","13","27","71","0.433","27","110","19.71","22","80","21.57","12","50","19.35","10","7","58.82","12.96","4.33","74.97","8","48","14.29","4","22","15.38","4","4","50.00","100.00","81.82","5","15","25.00","4","10","28.57","4","2","66.67","100.00","80.00","3","33","8.33","0","12","0.00","0","2","0.00","-","83.33","10","55","15.38","6","27","18.18","4","3","57.14","66.67","88.89","83.33","86.00","1.693"
"11","Colorado Avalanche","82","58.5","43","30","9","41","95","0.579","30","153","16.39","27","103","20.77","20","75","21.05","20","12","62.50","15.86","5.26","75.11","15","64","18.99","10","36","21.74","10","8","55.56","100.00","77.78","5","27","15.63","5","19","20.83","5","4","55.56","100.00","78.95","10","37","21.28","5","17","22.73","5","4","55.56","100.00","76.47","1","80","1.23","0","39","0.00","0","4","0.00","-","89.74","100.00","84.00","1.840"
"12","New York Rangers","82","32.7167","34","39","9","31","77","0.470","21","106","16.54","20","76","20.83","14","61","18.67","13","10","56.52","10.48","6.06","63.36","5","60","7.69","4","35","10.26","3","6","33.33","75.00","82.86","3","28","9.68","3","26","10.34","2","5","28.57","66.67","80.77","2","32","5.88","1","9","10.00","1","1","50.00","100.00","88.89","4","41","8.89","3","26","10.34","3","4","42.86","100.00","84.62","92.86","83.61","1.765"
"13","Washington Capitals","82","46.8","49","26","7","46","105","0.640","27","101","21.09","21","66","24.14","17","45","27.42","16","7","69.57","10.55","3.71","73.96","8","51","13.56","4","26","13.33","3","6","33.33","75.00","76.92","3","18","14.29","2","11","15.38","1","5","16.67","50.00","54.55","5","33","13.16","2","15","11.76","2","1","66.67","100.00","93.33","7","45","13.46","3","18","14.29","3","1","75.00","100.00","94.44","94.12","84.44","1.786"
"14","Ottawa Senators","82","35.75","28","43","11","26","67","0.409","8","98","7.55","6","73","7.59","5","50","9.09","5","8","38.46","3.39","6.3","34.97","2","53","3.64","2","30","6.25","2","7","22.22","100.00","76.67","1","28","3.45","1","20","4.76","1","4","20.00","100.00","80.00","1","25","3.85","1","10","9.09","1","3","25.00","100.00","70.00","1","37","2.63","0","20","0.00","0","1","0.00","-","95.00","100.00","84.00","1.840"
"15","Detroit Red Wings","82","34.15","30","39","13","25","73","0.445","11","90","10.89","10","62","13.89","5","41","10.87","5","7","41.67","5.89","4.36","57.45","4","44","8.33","1","21","4.55","1","4","20.00","100.00","80.95","1","24","4.00","1","13","7.14","1","3","25.00","100.00","76.92","3","20","13.04","0","8","0.00","0","1","0.00","-","87.50","2","40","4.76","1","20","4.76","1","3","25.00","100.00","85.00","100.00","82.93","1.829"
"16","Arizona Coyotes","82","33.6667","29","41","12","27","70","0.427","18","89","16.82","12","61","16.44","8","43","15.69","8","7","53.33","8.27","4.68","63.88","9","47","16.07","5","29","14.71","5","7","41.67","100.00","75.86","5","31","13.89","2","23","8.00","2","6","25.00","100.00","73.91","4","16","20.00","3","6","33.33","3","1","75.00","100.00","83.33","4","33","10.81","1","13","7.14","1","0","100.00","100.00","100.00","100.00","83.72","1.837"
"17","Anaheim Ducks","82","63.6833","44","25","13","40","101","0.616","37","166","18.23","31","102","23.31","9","71","11.25","9","7","56.25","17.82","5.74","75.65","5","86","5.49","3","40","6.98","3","6","33.33","100.00","85.00","3","36","7.69","3","27","10.00","3","5","37.50","100.00","81.48","2","50","3.85","0","13","0.00","0","1","0.00","-","92.31","4","69","5.48","0","28","0.00","0","1","0.00","-","96.43","100.00","90.14","1.901"
"18","Los Angeles Kings","82","43.25","45","29","8","43","98","0.598","26","109","19.26","22","76","22.45","14","46","23.33","14","5","73.68","10.35","4.27","70.80","5","52","8.77","2","22","8.33","2","2","50.00","100.00","90.91","3","21","12.50","2","13","13.33","2","2","50.00","100.00","84.62","2","31","6.06","0","9","0.00","0","0","-","-","100.00","7","47","12.96","4","19","17.39","4","3","57.14","100.00","84.21","100.00","89.13","1.891"
"19","New York Islanders","82","34.5167","35","37","10","32","80","0.488","17","81","17.35","10","65","13.33","8","46","14.81","8","9","47.06","5.38","4.82","52.76","2","35","5.41","1","24","4.00","1","8","11.11","100.00","66.67","1","17","5.56","0","14","0.00","0","7","0.00","-","50.00","1","18","5.26","1","10","9.09","1","1","50.00","100.00","90.00","4","42","8.70","3","22","12.00","3","1","75.00","100.00","95.45","100.00","80.43","1.804"
