"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Boston Bruins","82","42.25","49","24","9","47","107","0.652","31","76","28.97","22","51","30.14","13","32","28.89","13","1","92.86","13.9","3.13","81.62","14","28","33.33","6","15","28.57","6","1","85.71","100.00","93.33","5","9","35.71","3","8","27.27","3","1","75.00","100.00","87.50","9","19","32.14","3","7","30.00","3","0","100.00","100.00","100.00","8","45","15.09","3","16","15.79","3","0","100.00","100.00","100.00","100.00","96.88","1.969"
"2","Vancouver Canucks","82","36.4167","35","36","11","29","81","0.494","22","62","26.19","19","41","31.67","15","27","35.71","14","4","77.78","12.13","2.35","83.80","12","28","30.00","10","19","34.48","9","3","75.00","90.00","84.21","8","10","44.44","6","8","42.86","5","2","71.43","83.33","75.00","4","18","18.18","4","11","26.67","4","1","80.00","100.00","90.91","2","30","6.25","0","8","0.00","0","1","0.00","-","87.50","93.33","85.19","1.785"
"3","Anaheim Ducks","82","48.7333","35","37","10","32","80","0.488","23","103","18.25","18","78","18.75","8","61","11.59","8","8","50.00","9.98","6.91","59.06","4","55","6.78","3","36","7.69","3","7","30.00","100.00","80.56","2","23","8.00","2","18","10.00","2","3","40.00","100.00","83.33","2","32","5.88","1","18","5.26","1","4","20.00","100.00","77.78","5","41","10.87","1","25","3.85","1","1","50.00","100.00","96.00","100.00","86.89","1.869"
"4","Nashville Predators","82","58.7833","47","29","6","43","100","0.610","30","116","20.55","28","83","25.23","21","55","27.63","20","7","74.07","15.36","5.17","74.81","8","50","13.79","7","26","21.21","7","7","50.00","100.00","73.08","7","21","25.00","6","13","31.58","6","6","50.00","100.00","53.85","1","29","3.33","1","13","7.14","1","1","50.00","100.00","92.31","4","57","6.56","3","27","10.00","2","0","100.00","66.67","100.00","95.24","87.27","1.825"
"5","New York Islanders","82","61.8","48","27","7","43","103","0.628","34","131","20.61","23","80","22.33","16","60","21.05","15","5","75.00","11.21","4.49","71.39","8","53","13.11","4","31","11.43","3","4","42.86","75.00","87.10","3","21","12.50","3","17","15.00","2","4","33.33","66.67","76.47","5","32","13.51","1","14","6.67","1","0","100.00","100.00","100.00","8","69","10.39","3","28","9.68","3","1","75.00","100.00","96.43","93.75","91.67","1.854"
"6","Chicago Blackhawks","82","35.3167","36","34","12","33","84","0.512","32","82","28.07","24","64","27.27","15","52","22.39","14","11","56.00","12.36","4.1","75.09","10","43","18.87","6","30","16.67","5","7","41.67","83.33","76.67","3","23","11.54","3","20","13.04","3","6","33.33","100.00","70.00","7","20","25.93","3","10","23.08","2","1","66.67","66.67","90.00","5","33","13.16","3","21","12.50","3","4","42.86","100.00","80.95","93.33","78.85","1.722"
"7","Ottawa Senators","82","39.8","29","47","6","29","64","0.390","23","98","19.01","18","67","21.18","11","47","18.97","11","4","73.33","9.35","3.43","73.16","6","44","12.00","4","20","16.67","4","3","57.14","100.00","85.00","2","12","14.29","2","9","18.18","2","2","50.00","100.00","77.78","4","32","11.11","2","11","15.38","2","1","66.67","100.00","90.91","2","51","3.77","1","27","3.57","1","1","50.00","100.00","96.30","100.00","91.49","1.915"
"8","St Louis Blues","82","42.15","45","28","9","42","99","0.604","24","92","20.69","22","65","25.29","9","42","17.65","9","6","60.00","9.68","3.45","73.75","3","39","7.14","3","24","11.11","3","5","37.50","100.00","79.17","3","15","16.67","3","10","23.08","3","2","60.00","100.00","80.00","0","24","0.00","0","14","0.00","0","3","0.00","-","78.57","6","43","12.24","1","14","6.67","1","1","50.00","100.00","92.86","100.00","85.71","1.857"
"9","Arizona Coyotes","82","42.3667","39","35","8","35","86","0.524","30","96","23.81","23","62","27.06","12","40","23.08","12","4","75.00","13.91","6.58","67.89","9","49","15.52","4","26","13.33","4","4","50.00","100.00","84.62","5","26","16.13","4","19","17.39","4","3","57.14","100.00","84.21","4","23","14.81","0","7","0.00","0","1","0.00","-","85.71","7","41","14.58","4","14","22.22","4","0","100.00","100.00","100.00","100.00","90.00","1.900"
"10","Minnesota Wild","82","44.3833","37","36","9","36","83","0.506","25","102","19.69","21","69","23.33","12","46","20.69","12","4","75.00","11.93","4.22","73.86","11","48","18.64","7","19","26.92","7","4","63.64","100.00","78.95","6","18","25.00","5","11","31.25","5","3","62.50","100.00","72.73","5","30","14.29","2","8","20.00","2","1","66.67","100.00","87.50","2","46","4.17","1","25","3.85","1","0","100.00","100.00","100.00","100.00","91.30","1.913"
